Time,App name,No.,Source,Destination,Protocol,Length
5.392624,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.392647,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.461338,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.461827,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.468234,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.468387,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.4782,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.478359,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.478613,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.478643,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.478776,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.478799,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.478919,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.478982,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.4791,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479123,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479248,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479269,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479628,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479649,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479775,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479798,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479917,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.479938,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.480057,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.480114,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.480233,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.480255,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.480394,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.480417,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.518375,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.520357,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.520448,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.564803,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.564925,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.565213,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.565301,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.61781,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.61811,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.6767,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.677179,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.695219,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.703757,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.703993,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.704384,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.707288,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.707387,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.723553,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.723778,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.724383,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.724558,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.809692,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.814841,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.815361,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.189024,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.189445,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.19112,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.191237,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.191526,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.194026,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.194193,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.19447,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.195621,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.195764,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.19587,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.196579,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.196694,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.196861,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.19756,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.19784,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.393488,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.682314,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.691283,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.723175,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.768222,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.768407,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.768801,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.769501,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.76976,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.772788,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.823787,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.824117,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.825355,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.825966,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.830253,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.830556,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.831782,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.83184,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.833166,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.83322,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.833784,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.833843,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.834451,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.834571,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.834815,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.834838,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.88381,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.884043,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.885004,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.885096,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.893027,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.893576,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.894667,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.894737,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.895607,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.895662,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.89877,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.898855,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.899508,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.899533,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.920737,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.920916,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.922819,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.922883,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.935614,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.935799,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.935822,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
6.935875,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
