Time,App name,No.,Source,Destination,Protocol,Length
5.392624,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.392647,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.461338,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.461827,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.468234,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.468387,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.4782,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.478359,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.478613,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.478643,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.478776,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.478799,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.478919,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.478982,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.4791,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479123,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479248,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479269,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479628,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479649,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479775,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479798,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479917,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.479938,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.480057,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.480114,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.480233,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.480255,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.480394,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.480417,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.518375,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.520357,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.520448,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.564803,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.564925,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.565213,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.565301,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.61781,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.61811,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.6767,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.677179,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.695219,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.703757,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
